rxn02167:	['"KEGG:R03026"']
rxn05256:	['"KEGG:R07176"']
rxn01257:	['"KEGG:R01716"']
rxn00147:	['"KEGG:R00199"']
rxn06831:	['"KEGG:R04993"']
rxn01211:	['"KEGG:R01655"']
rxn00322:	['"KEGG:R00462"']
rxn05687:	['']
rxn10182:	['']
rxn09660:	['']
rxn00693:	['"KEGG:R00946"']
rxn05232:	['"KEGG:R02014"']
rxn05235:	['"KEGG:R02022"']
rxn05234:	['"KEGG:R02020"']
rxn05236:	['"KEGG:R02023"']
rxn03052:	['"KEGG:R04405"']
rxn00134:	['"KEGG:R00185"']
rxn01987:	['"KEGG:R02750"']
rxn00772:	['"KEGG:R01051"']
rxn01538:	['"KEGG:R02134"']
rxn03900:	['"KEGG:R05626"']
rxn03901:	['"KEGG:R05627"']
rxn05244:	['']
rxn05243:	['']
rxn00988:	['"KEGG:R01357"']
rxn00290:	['"KEGG:R00410"']
rxn05484:	['']
rxn05683:	['']
rxn00993:	['"KEGG:R01364"']
rxn01825:	['"KEGG:R02519"']
rxn00991:	['"KEGG:R01360"']
rxn01355:	['"KEGG:R01859"']
rxn01504:	['"KEGG:R02085"']
rxn02898:	['"KEGG:R04150"']
rxn00701:	['"KEGG:R00955"']
rxn00213:	['"KEGG:R00289"']
rxn05063:	['"KEGG:R07315"']
rxn08277:	['']
rxn00102:	['"KEGG:R00132"']
rxn00728:	['"KEGG:R00987"']
rxn01437:	['"KEGG:R01959"']
rxn13299:	['']
rxn01134:	['"KEGG:R01557", "KEGG:R06218"']
rxn10160:	['']
rxn05565:	['']
rxn05572:	['']
rxn01245:	['']
rxn02950:	['']
rxn10537:	['']
rxn01921:	['"KEGG:R02658"']
rxn01275:	['"KEGG:R01737"']
rxn05571:	['']
rxn00547:	['"KEGG:R00760"']
rxn09370:	['']
rxn13797:	['']
rxn13813:	['']
rxn04786:	['"KEGG:R06977"']
rxn00007:	['"KEGG:R00010", "KEGG:R06103"']
rxn10974:	['']
rxn00588:	['"KEGG:R00817"']
rxn02971:	['"KEGG:R04260"']
rxn02782:	['"KEGG:R03959"']
rxn00478:	['"KEGG:R00678"']
rxn09108:	['']
rxn09109:	['']
rxn09110:	['']
rxn09111:	['']
rxn09112:	['']
rxn09113:	['']
rxn09114:	['']
rxn03136:	['"KEGG:R04559"']
rxn00800:	['"KEGG:R01083"']
rxn00336:	['"KEGG:R00479"']
rxn02986:	['"KEGG:R04286"']
rxn06447:	['"KEGG:R03663"']
rxn05559:	['']
rxn01333:	['"KEGG:R01827"']
rxn00191:	['"KEGG:R00258"']
rxn00710:	['"KEGG:R00965"']
rxn03513:	['"KEGG:R05180"']
rxn02775:	['"KEGG:R03948"']
rxn03512:	['"KEGG:R05177"']
rxn03491:	['"KEGG:R05149"']
rxn05188:	['']
rxn03514:	['"KEGG:R05181"']
rxn01513:	['"KEGG:R02094"']
rxn03841:	['"KEGG:R05553"']
rxn05458:	['']
